Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"THOR MEDICAL";NO0010597883;TRMED;"Oslo Børs";NOK;1.25;1.30;1.204;1.27;"02/11/2023 16:25";CET;798683;993546.93;1.27;02/11/2023
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;234.60;241.60;234.60;240.00;"02/11/2023 16:25";CET;207;49664.20;240.00;02/11/2023
"TOMRA SYSTEMS";NO0012470089;TOM;"Oslo Børs";NOK;88.36;92.94;87.94;92.22;"02/11/2023 16:26";CET;566476;51949210.82;92.22;02/11/2023
"TOTENS SPAREBANK";NO0006001205;TOTG;"Oslo Børs";NOK;197.00;197.00;193.00;193.00;"02/11/2023 16:25";CET;363;70599.00;193.00;02/11/2023
TREASURE;NO0010763550;TRE;"Oslo Børs";NOK;19.15;19.85;19.15;19.85;"02/11/2023 16:25";CET;2835;55510.75;19.85;02/11/2023
"TYSNES SPAREBANK";NO0010731615;TYSB;"Euronext Growth Oslo";NOK;107.00;107.00;107.00;107.00;"01/11/2023 09:13";CET;8;856.00;107.00;02/11/2023
ULTIMOVACS;NO0010851603;ULTI;"Oslo Børs";NOK;100.00;106.20;97.40;104.60;"02/11/2023 16:25";CET;160894;16585687.70;104.60;02/11/2023
UNIVID;NO0003055808;UNIV;"Oslo Børs";NOK;0.22;0.27;0.215;0.26;"02/11/2023 16:28";CET;1123191;283025.01;0.26;02/11/2023
VEIDEKKE;NO0005806802;VEI;"Oslo Børs";NOK;95.80;97.60;95.80;97.00;"02/11/2023 16:25";CET;37453;3607862.20;97.00;02/11/2023
"VISTIN PHARMA";NO0010734122;VISTN;"Oslo Børs";NOK;23.40;23.40;22.50;22.80;"02/11/2023 16:25";CET;15597;357540.60;22.80;02/11/2023
VOLUE;NO0010894603;VOLUE;"Oslo Børs";NOK;19.42;19.42;18.74;18.76;"02/11/2023 16:25";CET;94828;1802441.78;18.76;02/11/2023
"VOSS VEKSEL OGLAND";NO0003025009;VVL;"Oslo Børs";NOK;220.00;220.00;218.00;220.00;"02/11/2023 14:32";CET;238;52290.00;220.00;02/11/2023
VOW;NO0010708068;VOW;"Oslo Børs";NOK;10.30;10.44;10.18;10.42;"02/11/2023 16:25";CET;130013;1340133.74;10.42;02/11/2023
"VOW GREEN METALS";NO0011037483;VGM;"Euronext Growth Oslo";NOK;2.30;2.40;2.30;2.40;"02/11/2023 16:25";CET;31220;74409.27;2.40;02/11/2023
"VÅR ENERGI";NO0011202772;VAR;"Oslo Børs";NOK;37.65;38.35;37.41;38.13;"02/11/2023 16:29";CET;5412543;205575907.14;38.13;02/11/2023
"WALLENIUS WILHELMS";NO0010571680;WAWI;"Oslo Børs";NOK;100.00;102.80;99.30;101.30;"02/11/2023 16:27";CET;444732;45119178.45;101.30;02/11/2023
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;22.80;23.20;22.80;23.20;"02/11/2023 10:25";CET;2686;62314.80;23.20;02/11/2023
"WESTERN BULK CHART";NO0010768096;WEST;"Euronext Growth Oslo";NOK;24.20;24.20;23.50;23.80;"02/11/2023 16:25";CET;7730;185143.40;23.80;02/11/2023
"WILH. WILHELMSEN A";NO0010571698;WWI;"Oslo Børs";NOK;322.00;338.00;321.50;330.00;"02/11/2023 16:26";CET;68906;22696177.00;330.00;02/11/2023
"WILH. WILHELMSEN B";NO0010576010;WWIB;"Oslo Børs";NOK;310.00;325.00;310.00;317.00;"02/11/2023 16:25";CET;15059;4752372.00;317.00;02/11/2023
"WPU - WASTE PLASTI";DK0061676400;WPU;"Euronext Growth Oslo";NOK;39.80;39.90;36.00;38.10;"02/11/2023 15:01";CET;5703;216486.70;38.10;02/11/2023
"XPLORA TECHNOLOGIE";NO0010895782;XPLRA;"Euronext Growth Oslo";NOK;16.50;17.50;16.50;16.80;"02/11/2023 16:26";CET;40727;685073.40;16.80;02/11/2023
XXL;NO0010716863;XXL;"Oslo Børs";NOK;0.745;0.798;0.731;0.751;"02/11/2023 16:25";CET;5654410;4315300.13;0.751;02/11/2023
"YARA INTERNATIONAL";NO0010208051;YAR;"Oslo Børs";NOK;365.10;371.20;365.10;367.70;"02/11/2023 16:29";CET;294609;108473508.10;367.70;02/11/2023
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;41.20;42.00;41.20;42.00;"02/11/2023 16:25";CET;1850;77124.30;42.00;02/11/2023
ZAPTEC;NO0010713936;ZAP;"Oslo Børs";NOK;20.56;21.12;19.60;20.94;"02/11/2023 16:25";CET;410070;8352393.31;20.94;02/11/2023
"ZENITH ENERGY";CA98936C8584;ZENA;"Euronext Growth Oslo";NOK;0.4749;0.4749;0.4102;0.4499;"02/11/2023 16:25";CET;430988;183184.58;0.4499;02/11/2023
ZWIPE;NO0010721277;ZWIPE;"Euronext Growth Oslo";NOK;1.10;1.25;1.10;1.25;"02/11/2023 12:01";CET;7522;9377.60;1.25;02/11/2023
